,Dataset,Model,Feature_selector,Validation_metrics_100,Validation_metrics_20,Delta_metrics_20_-_metrics_100
8,12. IADQ,SVM,mutual information,0.875,0.833333333,-0.041666667
9,12. IADQ,LogReg,mutual information,0.888888889,0.833333333,-0.055555556
10,12. IADQ,Perceptron,mutual information,0.833333333,0.805555556,-0.027777778
11,12. IADQ,DecisionTree,mutual information,0.875,0.819444444,-0.055555556
12,12. IADQ,GradientBoosting,mutual information,0.861111111,0.833333333,-0.027777778
13,12. IADQ,AdaptiveBoosting,mutual information,0.847222222,0.819444444,-0.027777778
14,12. IADQ,Random forest,ANOVA,0.833333333,0.819444444,-0.013888889
15,12. IADQ,SVM,ANOVA,0.875,0.833333333,-0.041666667
16,12. IADQ,LogReg,ANOVA,0.888888889,0.805555556,-0.083333333
17,12. IADQ,Perceptron,ANOVA,0.833333333,0.805555556,-0.027777778
18,12. IADQ,DecisionTree,ANOVA,0.875,0.819444444,-0.055555556
19,12. IADQ,GradientBoosting,ANOVA,0.861111111,0.819444444,-0.041666667
20,12. IADQ,AdaptiveBoosting,ANOVA,0.847222222,0.805555556,-0.041666667
21,12. IADQ,Random forest,PCA,0.83,0.82,-0.01
22,12. IADQ,SVM,PCA,0.84,0.84,0
23,12. IADQ,LogReg,PCA,0.83,0.85,0.02
24,12. IADQ,Perceptron,PCA,0.76,0.75,-0.01
25,12. IADQ,DecisionTree,PCA,0.8,0.78,-0.02
26,12. IADQ,GradientBoosting,PCA,0.84,0.83,-0.01
27,12. IADQ,AdaptiveBoosting,PCA,0.82,0.81,-0.01
28,12. IADQ,Random forest,FA,0.82,0.81,-0.01
29,12. IADQ,SVM,FA,0.84,0.81,-0.03
30,12. IADQ,LogReg,FA,0.85,0.82,-0.03
31,12. IADQ,Perceptron,FA,0.75,0.73,-0.02
32,12. IADQ,DecisionTree,FA,0.78,0.82,0.04
33,12. IADQ,GradientBoosting,FA,0.83,0.82,-0.01
34,12. IADQ,AdaptiveBoosting,FA,0.81,0.81,0
0,13.BF(3)(ctu),Random forest,chi2,,,
1,13.BF(3)(ctu),SVM,chi2,,,
2,13.BF(3)(ctu),LogReg,chi2,,,
3,13.BF(3)(ctu),Perceptron,chi2,,,
4,13.BF(3)(ctu),DecisionTree,chi2,,,
5,13.BF(3)(ctu),GradientBoosting,chi2,,,
6,13.BF(3)(ctu),AdaptiveBoosting,chi2,,,
7,13.BF(3)(ctu),Random forest,mutual information,,,
8,13.BF(3)(ctu),SVM,mutual information,,,
9,13.BF(3)(ctu),LogReg,mutual information,,,
10,13.BF(3)(ctu),Perceptron,mutual information,,,
11,13.BF(3)(ctu),DecisionTree,mutual information,,,
12,13.BF(3)(ctu),GradientBoosting,mutual information,,,
13,13.BF(3)(ctu),AdaptiveBoosting,mutual information,,,
14,13.BF(3)(ctu),Random forest,ANOVA,,,
15,13.BF(3)(ctu),SVM,ANOVA,,,
16,13.BF(3)(ctu),LogReg,ANOVA,,,
17,13.BF(3)(ctu),Perceptron,ANOVA,,,
18,13.BF(3)(ctu),DecisionTree,ANOVA,,,
19,13.BF(3)(ctu),GradientBoosting,ANOVA,,,
20,13.BF(3)(ctu),AdaptiveBoosting,ANOVA,,,
21,13.BF(3)(ctu),Random forest,PCA,0.8,0.8,0
22,13.BF(3)(ctu),SVM,PCA,0.8,0.78,-0.02
23,13.BF(3)(ctu),LogReg,PCA,0.81,0.78,-0.03
24,13.BF(3)(ctu),Perceptron,PCA,0.67,0.57,-0.1
25,13.BF(3)(ctu),DecisionTree,PCA,0.74,0.78,0.04
26,13.BF(3)(ctu),GradientBoosting,PCA,0.81,0.79,-0.02
27,13.BF(3)(ctu),AdaptiveBoosting,PCA,0.81,0.79,-0.02
28,13.BF(3)(ctu),Random forest,FA,0.78,0.78,0
29,13.BF(3)(ctu),SVM,FA,0.77,0.77,0
30,13.BF(3)(ctu),LogReg,FA,0.77,0.77,0
31,13.BF(3)(ctu),Perceptron,FA,0.65,0.65,0
32,13.BF(3)(ctu),DecisionTree,FA,0.78,0.78,0
33,13.BF(3)(ctu),GradientBoosting,FA,0.78,0.78,0
34,13.BF(3)(ctu),AdaptiveBoosting,FA,0.77,0.77,0
0,13.BF(3)(ou),Random forest,chi2,,,
1,13.BF(3)(ou),SVM,chi2,,,
2,13.BF(3)(ou),LogReg,chi2,,,
3,13.BF(3)(ou),Perceptron,chi2,,,
4,13.BF(3)(ou),DecisionTree,chi2,,,
5,13.BF(3)(ou),GradientBoosting,chi2,,,
6,13.BF(3)(ou),AdaptiveBoosting,chi2,,,
7,13.BF(3)(ou),Random forest,mutual information,,,
8,13.BF(3)(ou),SVM,mutual information,,,
9,13.BF(3)(ou),LogReg,mutual information,,,
10,13.BF(3)(ou),Perceptron,mutual information,,,
11,13.BF(3)(ou),DecisionTree,mutual information,,,
12,13.BF(3)(ou),GradientBoosting,mutual information,,,
13,13.BF(3)(ou),AdaptiveBoosting,mutual information,,,
14,13.BF(3)(ou),Random forest,ANOVA,,,
15,13.BF(3)(ou),SVM,ANOVA,,,
16,13.BF(3)(ou),LogReg,ANOVA,,,
17,13.BF(3)(ou),Perceptron,ANOVA,,,
18,13.BF(3)(ou),DecisionTree,ANOVA,,,
19,13.BF(3)(ou),GradientBoosting,ANOVA,,,
20,13.BF(3)(ou),AdaptiveBoosting,ANOVA,,,
21,13.BF(3)(ou),Random forest,PCA,0.81,0.72,-0.09
22,13.BF(3)(ou),SVM,PCA,0.79,0.74,-0.05
23,13.BF(3)(ou),LogReg,PCA,0.79,0.76,-0.03
24,13.BF(3)(ou),Perceptron,PCA,0.66,0.65,-0.01
25,13.BF(3)(ou),DecisionTree,PCA,0.74,0.71,-0.03
26,13.BF(3)(ou),GradientBoosting,PCA,0.81,0.74,-0.07
27,13.BF(3)(ou),AdaptiveBoosting,PCA,0.8,0.75,-0.05
28,13.BF(3)(ou),Random forest,FA,0.8,0.73,-0.07
29,13.BF(3)(ou),SVM,FA,0.79,0.73,-0.06
30,13.BF(3)(ou),LogReg,FA,0.79,0.71,-0.08
31,13.BF(3)(ou),Perceptron,FA,0.74,0.62,-0.12
32,13.BF(3)(ou),DecisionTree,FA,0.75,0.7,-0.05
33,13.BF(3)(ou),GradientBoosting,FA,0.8,0.7,-0.1
34,13.BF(3)(ou),AdaptiveBoosting,FA,0.78,0.7,-0.08
,,,,,,
0,13.BF(3)(v),Random forest,chi2,,,
1,13.BF(3)(v),SVM,chi2,,,
2,13.BF(3)(v),LogReg,chi2,,,
3,13.BF(3)(v),Perceptron,chi2,,,
4,13.BF(3)(v),DecisionTree,chi2,,,
5,13.BF(3)(v),GradientBoosting,chi2,,,
6,13.BF(3)(v),AdaptiveBoosting,chi2,,,
7,13.BF(3)(v),Random forest,mutual information,,,
8,13.BF(3)(v),SVM,mutual information,,,
9,13.BF(3)(v),LogReg,mutual information,,,
10,13.BF(3)(v),Perceptron,mutual information,,,
11,13.BF(3)(v),DecisionTree,mutual information,,,
12,13.BF(3)(v),GradientBoosting,mutual information,,,
13,13.BF(3)(v),AdaptiveBoosting,mutual information,,,
14,13.BF(3)(v),Random forest,ANOVA,,,
15,13.BF(3)(v),SVM,ANOVA,,,
16,13.BF(3)(v),LogReg,ANOVA,,,
17,13.BF(3)(v),Perceptron,ANOVA,,,
18,13.BF(3)(v),DecisionTree,ANOVA,,,
19,13.BF(3)(v),GradientBoosting,ANOVA,,,
20,13.BF(3)(v),AdaptiveBoosting,ANOVA,,,
21,13.BF(3)(v),Random forest,PCA,0.81,0.63,-0.18
22,13.BF(3)(v),SVM,PCA,0.79,0.63,-0.16
23,13.BF(3)(v),LogReg,PCA,0.79,0.63,-0.16
24,13.BF(3)(v),Perceptron,PCA,0.68,0.52,-0.16
25,13.BF(3)(v),DecisionTree,PCA,0.78,0.64,-0.14
26,13.BF(3)(v),GradientBoosting,PCA,0.8,0.62,-0.18
27,13.BF(3)(v),AdaptiveBoosting,PCA,0.8,0.62,-0.18
28,13.BF(3)(v),Random forest,FA,0.79,0.77,-0.02
29,13.BF(3)(v),SVM,FA,0.78,0.75,-0.03
30,13.BF(3)(v),LogReg,FA,0.78,0.75,-0.03
31,13.BF(3)(v),Perceptron,FA,0.64,0.7,0.06
32,13.BF(3)(v),DecisionTree,FA,0.74,0.77,0.03
33,13.BF(3)(v),GradientBoosting,FA,0.79,0.77,-0.02
34,13.BF(3)(v),AdaptiveBoosting,FA,0.8,0.78,-0.02
